Site_Location,Sat_Gill,Chroma_Gill,Tint_Gill,Whiteness_Gill,Red_Coloration_Area
1,0.517,14.221,-46.99,-77.5,2.35
1,0.568,13.766,-51.13,-92.7,2.969
1,1.272,30.14,-126.48,-175.6,18.237
1,2.501,60.131,-252.74,-257.1,26.563
1,1.888,51.076,-191.95,-208.3,23.845
1,1.859,48.925,-188.3,-229.1,14.425
0,0.433,9.699,-42.19,-56.4,8.504
0,0.923,24.398,-88.82,-135.8,12.299
0,1.107,27.411,-113.26,-117.5,19.26045
0,1.341,38.099,-136.11,-150.5,22.011
0,1.037,32.101,-103.38,-125.8,5.32
0,0.494,12.953,-36.14,-101.1,9.542
0,1.21,31.788,-119.05,-172.8,10.331
0,1.387,33.71,-138.85,-185.8,15.288
0,0.887,30.088,-87.73,-102.3,13.1997
0,0.775,21.2,-78.07,-87.6,2.503
1,0.813,16.097,-82.24,-98.3,27.89316
1,0.911,16.032,-91.96,-113,19.5179
1,0.842,16.813,-82.68,-117.9,22.12517
1,1.047,20.488,-105.37,-133,24.0018
1,0.535,14.24,-52.27,-66.3,3.478526
1,1.614,32.85,-165,-166.1,24.07409
1,0.867,20.343,-87.18,-105.5,1.856425956
1,0.389,8.797,-35.59,-58.8,8.06
1,1.274,28.925,-128.45,-160.1,15.98391
0,0.91,18.298,-92.7,-104.4,12.00197
0,0.849,21.647,-81.39,-125.3,20.16159
0,0.563,12.27,-57.29,-62.8,4.524019
0,1.002,19.721,-101.2,-123,7.151921
0,0.157,2.945,-15.45,-18.2,4.888112
0,0.154,3.863,-11.39,-23.3,4.850227
